path,basename,validation,font_name,font_family,font_full_name,font_postscript_name
/System/Library/Fonts/AquaKana.ttc,AquaKana.ttc,Valid,.Aqua Kana,.Aqua Kana,.Aqua Kana,AquaKana
/System/Library/Fonts/CJKSymbolsFallback.ttc,CJKSymbolsFallback.ttc,Valid,.CJK Symbols Fallback HK,.CJK Symbols Fallback HK,.CJK Symbols Fallback HK,.CJKSymbolsFallbackHK-Regular
/System/Library/Fonts/DecoTypeNastaleeqUrdu.ttc,DecoTypeNastaleeqUrdu.ttc,Valid,.DecoType Nastaleeq Urdu UI,.DecoType Nastaleeq Urdu UI,.DecoType Nastaleeq Urdu UI,.DecoTypeNastaleeqUrduUI-Regular
/System/Library/Fonts/Keyboard.ttf,Keyboard.ttf,Valid,.Keyboard,.Keyboard,.Keyboard,.Keyboard
/System/Library/Fonts/LastResort.otf,LastResort.otf,Valid,.LastResort,.LastResort,.LastResort,LastResort
/System/Library/Fonts/NewYork.ttf,NewYork.ttf,Valid,.New York,.New York,.New York,.NewYork-Regular
/System/Library/Fonts/NewYorkItalic.ttf,NewYorkItalic.ttf,Valid,.New York Italic,.New York,.New York Italic,.NewYork-RegularItalic
/System/Library/PrivateFrameworks/FontServices.framework/Resources/Reserved/PingFangUI.ttc,PingFangUI.ttc,Valid,.PingFang UI Text SC,.PingFang UI SC,.PingFang UI Text SC,.PingFangUITextSC-Default
/System/Library/Fonts/SFArabic.ttf,SFArabic.ttf,Valid,.SF Arabic,.SF Arabic,.SF Arabic,.SFArabic-Regular
/System/Library/Fonts/SFArabicRounded.ttf,SFArabicRounded.ttf,Valid,.SF Arabic Rounded,.SF Arabic Rounded,.SF Arabic Rounded,.SFArabicRounded-Regular
/System/Library/Fonts/SFArmenian.ttf,SFArmenian.ttf,Valid,.SF Armenian,.SF Armenian,.SF Armenian,.SFArmenian-Regular
/System/Library/Fonts/SFArmenianRounded.ttf,SFArmenianRounded.ttf,Valid,.SF Armenian Rounded,.SF Armenian Rounded,.SF Armenian Rounded,.SFArmenianRounded-Regular
/System/Library/Fonts/SFIndia.ttc,SFIndia.ttc,Valid,.SF Bangla Regular,.SF Bangla,.SF Bangla Regular,.SFBangla-Regular
/System/Library/Fonts/SFCamera.ttf,SFCamera.ttf,Valid,.SF Camera,.SF Camera,.SF Camera,..SFCamera-Regular
/System/Library/Fonts/SFCompactItalic.ttf,SFCompactItalic.ttf,Valid,.SF Compact,.SF Compact,.SF Compact,.SFCompact-BlackItalic
/System/Library/Fonts/SFCompact.ttf,SFCompact.ttf,Valid,.SF Compact,.SF Compact,.SF Compact,.SFCompact-Black
/System/Library/Fonts/SFCompactRounded.ttf,SFCompactRounded.ttf,Valid,.SF Compact Rounded,.SF Compact Rounded,.SF Compact Rounded,..SFCompactRounded-Regular
/System/Library/Fonts/SFGeorgian.ttf,SFGeorgian.ttf,Valid,.SF Georgian,.SF Georgian,.SF Georgian,.SFGeorgian-Regular
/System/Library/Fonts/SFGeorgianRounded.ttf,SFGeorgianRounded.ttf,Valid,.SF Georgian Rounded,.SF Georgian Rounded,.SF Georgian Rounded,.SFGeorgianRounded-Regular
/System/Library/Fonts/SFHebrew.ttf,SFHebrew.ttf,Valid,.SF Hebrew,.SF Hebrew,.SF Hebrew,.SFHebrew-Regular
/System/Library/Fonts/SFHebrewRounded.ttf,SFHebrewRounded.ttf,Valid,.SF Hebrew Rounded,.SF Hebrew Rounded,.SF Hebrew Rounded,.SFHebrewRounded-Regular
/System/Library/Fonts/SFNSMono.ttf,SFNSMono.ttf,Valid,.SF NS Mono Light,.SF NS Mono,.SF NS Mono Light,.SFNSMono-Light
/System/Library/Fonts/SFNSMonoItalic.ttf,SFNSMonoItalic.ttf,Valid,.SF NS Mono Light Italic,.SF NS Mono,.SF NS Mono Light Italic,.SFNSMono-LightItalic
/System/Library/Fonts/SFNSRounded.ttf,SFNSRounded.ttf,Valid,.SF NS Rounded,.SF NS Rounded,.SF NS Rounded,.SFNSRounded-Regular
/System/Library/Fonts/ADTNumeric.ttc,ADTNumeric.ttc,Valid,.SF Numeric,.SF Numeric,.SF Numeric,.SFNumeric-Regular
/System/Library/Fonts/ThonburiUI.ttc,ThonburiUI.ttc,Valid,.ThonburiUI Regular,.ThonburiUI,.ThonburiUI Regular,.ThonburiUI-Regular
/Users/xiangyucheng/Library/Fonts/No.24-ShangShouRuanTangTi-2.ttf,No.24-ShangShouRuanTangTi-2.ttf,Valid,024-SSRuanTangTi,024-SSRuanTangTi,024-SSRuanTangTi,024-SSRuanTangTi
/Users/xiangyucheng/Library/Fonts/AkazukiPOP.otf,AkazukiPOP.otf,Valid,07AkazukinPop Heavy,07AkazukinPop Heavy,07AkazukinPop Heavy,07AkazukinPop
/Users/xiangyucheng/Library/Fonts/851CHIKARA-DZUYOKU.ttf,851CHIKARA-DZUYOKU.ttf,Valid,851CHIKARA-DZUYOKU,851CHIKARA-DZUYOKU,851CHIKARA-DZUYOKU,851CHIKARA-DZUYOKU
/Users/xiangyucheng/Library/Fonts/AaShuiYuYuanTi-2.ttf,AaShuiYuYuanTi-2.ttf,Valid,AaSYYT,AaSYYT,AaSYYT,AaSYYT
/Users/xiangyucheng/Library/Fonts/AaShuYunSong-2.ttf,AaShuYunSong-2.ttf,Valid,AaShuYunSong,AaShuYunSong,AaShuYunSong,AaShuYunSong
/Users/xiangyucheng/Library/Fonts/20f8a38e287a6f357fa1a5ede9b7fc1f.ttf,20f8a38e287a6f357fa1a5ede9b7fc1f.ttf,Valid,Aa牡丹亭毛笔行书,Aa牡丹亭毛笔行书,Aa牡丹亭毛笔行书,AaMDTMBXS
/System/Library/Fonts/Supplemental/Academy Engraved LET Fonts.ttf,Academy Engraved LET Fonts.ttf,Valid,Academy Engraved LET Plain:1.0,Academy Engraved LET,Academy Engraved LET Plain:1.0,AcademyEngravedLetPlain
/System/Library/Fonts/Supplemental/AlBayan.ttc,AlBayan.ttc,Valid,Al Bayan Plain,Al Bayan,Al Bayan Plain,AlBayan
/System/Library/Fonts/Supplemental/Al Nile.ttc,Al Nile.ttc,Valid,Al Nile,Al Nile,Al Nile,AlNile
/System/Library/Fonts/Supplemental/Al Tarikh.ttc,Al Tarikh.ttc,Valid,Al Tarikh Regular,Al Tarikh,Al Tarikh Regular,AlTarikh
/System/Library/Fonts/Supplemental/AmericanTypewriter.ttc,AmericanTypewriter.ttc,Valid,American Typewriter,American Typewriter,American Typewriter,AmericanTypewriter
/System/Library/Fonts/Supplemental/Andale Mono.ttf,Andale Mono.ttf,Valid,Andale Mono,Andale Mono,Andale Mono,AndaleMono
/System/Library/Fonts/Apple Braille.ttf,Apple Braille.ttf,Valid,Apple Braille,Apple Braille,Apple Braille,AppleBraille
/System/Library/Fonts/Apple Braille Outline 6 Dot.ttf,Apple Braille Outline 6 Dot.ttf,Valid,Apple Braille Outline 6 Dot,Apple Braille,Apple Braille Outline 6 Dot,AppleBraille-Outline6Dot
/System/Library/Fonts/Apple Braille Outline 8 Dot.ttf,Apple Braille Outline 8 Dot.ttf,Valid,Apple Braille Outline 8 Dot,Apple Braille,Apple Braille Outline 8 Dot,AppleBraille-Outline8Dot
/System/Library/Fonts/Apple Braille Pinpoint 6 Dot.ttf,Apple Braille Pinpoint 6 Dot.ttf,Valid,Apple Braille Pinpoint 6 Dot,Apple Braille,Apple Braille Pinpoint 6 Dot,AppleBraille-Pinpoint6Dot
/System/Library/Fonts/Apple Braille Pinpoint 8 Dot.ttf,Apple Braille Pinpoint 8 Dot.ttf,Valid,Apple Braille Pinpoint 8 Dot,Apple Braille,Apple Braille Pinpoint 8 Dot,AppleBraille-Pinpoint8Dot
/System/Library/Fonts/Supplemental/Apple Chancery.ttf,Apple Chancery.ttf,Valid,Apple Chancery,Apple Chancery,Apple Chancery,Apple-Chancery
/System/Library/Fonts/Apple Color Emoji.ttc,Apple Color Emoji.ttc,Valid,Apple Color Emoji,Apple Color Emoji,Apple Color Emoji,AppleColorEmoji
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/ecb0f9fe84d4cf732f739bbc2c6a8c29cfefd08e.asset/AssetData/AppleLiGothic-Medium.ttf,AppleLiGothic-Medium.ttf,Valid,Apple LiGothic Medium,Apple LiGothic,Apple LiGothic Medium,LiGothicMed
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/b3a305e67bac3daadc55e9b976b534261c038509.asset/AssetData/AppleLiSung-Light.ttf,AppleLiSung-Light.ttf,Valid,Apple LiSung Light,Apple LiSung,Apple LiSung Light,LiSungLight
/System/Library/Fonts/AppleSDGothicNeo.ttc,AppleSDGothicNeo.ttc,Valid,Apple SD Gothic Neo Regular,Apple SD Gothic Neo,Apple SD Gothic Neo Regular,AppleSDGothicNeo-Regular
/System/Library/Fonts/Apple Symbols.ttf,Apple Symbols.ttf,Valid,Apple Symbols,Apple Symbols,Apple Symbols,AppleSymbols
/System/Library/Fonts/Supplemental/AppleGothic.ttf,AppleGothic.ttf,Valid,AppleGothic Regular,AppleGothic,AppleGothic Regular,AppleGothic
/System/Library/Fonts/Supplemental/AppleMyungjo.ttf,AppleMyungjo.ttf,Valid,AppleMyungjo Regular,AppleMyungjo,AppleMyungjo Regular,AppleMyungjo
/System/Library/Fonts/Supplemental/Arial.ttf,Arial.ttf,Valid,Arial,Arial,Arial,ArialMT
/System/Library/Fonts/Supplemental/Arial Black.ttf,Arial Black.ttf,Valid,Arial Black,Arial Black,Arial Black,Arial-Black
/System/Library/Fonts/Supplemental/Arial Bold.ttf,Arial Bold.ttf,Valid,Arial Bold,Arial,Arial Bold,Arial-BoldMT
/System/Library/Fonts/Supplemental/Arial Bold Italic.ttf,Arial Bold Italic.ttf,Valid,Arial Bold Italic,Arial,Arial Bold Italic,Arial-BoldItalicMT
/System/Library/Fonts/ArialHB.ttc,ArialHB.ttc,Valid,Arial Hebrew,Arial Hebrew,Arial Hebrew,ArialHebrew
/System/Library/Fonts/Supplemental/Arial Italic.ttf,Arial Italic.ttf,Valid,Arial Italic,Arial,Arial Italic,Arial-ItalicMT
/System/Library/Fonts/Supplemental/Arial Narrow.ttf,Arial Narrow.ttf,Valid,Arial Narrow,Arial Narrow,Arial Narrow,ArialNarrow
/System/Library/Fonts/Supplemental/Arial Narrow Bold.ttf,Arial Narrow Bold.ttf,Valid,Arial Narrow Bold,Arial Narrow,Arial Narrow Bold,ArialNarrow-Bold
/System/Library/Fonts/Supplemental/Arial Narrow Bold Italic.ttf,Arial Narrow Bold Italic.ttf,Valid,Arial Narrow Bold Italic,Arial Narrow,Arial Narrow Bold Italic,ArialNarrow-BoldItalic
/System/Library/Fonts/Supplemental/Arial Narrow Italic.ttf,Arial Narrow Italic.ttf,Valid,Arial Narrow Italic,Arial Narrow,Arial Narrow Italic,ArialNarrow-Italic
/System/Library/Fonts/Supplemental/Arial Rounded Bold.ttf,Arial Rounded Bold.ttf,Valid,Arial Rounded MT Bold,Arial Rounded MT Bold,Arial Rounded MT Bold,ArialRoundedMTBold
/Library/Fonts/Arial Unicode.ttf,Arial Unicode.ttf,Valid,Arial Unicode MS,Arial Unicode MS,Arial Unicode MS,ArialUnicodeMS
/System/Library/Fonts/Supplemental/Arial Unicode.ttf,Arial Unicode.ttf,Valid,Arial Unicode MS,Arial Unicode MS,Arial Unicode MS,ArialUnicodeMS
/Users/xiangyucheng/Library/Fonts/Arual.ttf,Arual.ttf,Valid,ArualLight,Arual,ArualLight,Arual
/System/Library/Fonts/Supplemental/Athelas.ttc,Athelas.ttc,Valid,Athelas Regular,Athelas,Athelas Regular,Athelas-Regular
/System/Library/Fonts/Avenir.ttc,Avenir.ttc,Valid,Avenir Book,Avenir Book,Avenir Book,Avenir-Book
/System/Library/Fonts/Avenir Next.ttc,Avenir Next.ttc,Valid,Avenir Next Bold,Avenir Next,Avenir Next Bold,AvenirNext-Bold
/System/Library/Fonts/Avenir Next Condensed.ttc,Avenir Next Condensed.ttc,Valid,Avenir Next Condensed Bold,Avenir Next Condensed,Avenir Next Condensed Bold,AvenirNextCondensed-Bold
/System/Library/Fonts/Supplemental/Ayuthaya.ttf,Ayuthaya.ttf,Valid,Ayuthaya,Ayuthaya,Ayuthaya,Ayuthaya
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/42529d87b12845309dd4a57dea9e58446826e94c.asset/AssetData/BIZ_UDGothic.ttc,BIZ_UDGothic.ttc,Valid,BIZ UDGothic,BIZ UDGothic,BIZ UDGothic,BIZUDGothic-Regular
