path,basename,font_family,font_full_name,font_postscript_name
/Users/xiangyucheng/Library/Fonts/No.24-ShangShouRuanTangTi-2.ttf,No.24-ShangShouRuanTangTi-2.ttf,024-SSRuanTangTi,024-SSRuanTangTi,024-SSRuanTangTi
/Users/xiangyucheng/Library/Fonts/AkazukiPOP.otf,AkazukiPOP.otf,07AkazukinPop Heavy,07AkazukinPop Heavy,07AkazukinPop
/Users/xiangyucheng/Library/Fonts/851CHIKARA-DZUYOKU.ttf,851CHIKARA-DZUYOKU.ttf,851CHIKARA-DZUYOKU,851CHIKARA-DZUYOKU,851CHIKARA-DZUYOKU
/Users/xiangyucheng/Library/Fonts/AaShuiYuYuanTi-2.ttf,AaShuiYuYuanTi-2.ttf,AaSYYT,AaSYYT,AaSYYT
/Users/xiangyucheng/Library/Fonts/AaShuYunSong-2.ttf,AaShuYunSong-2.ttf,AaShuYunSong,AaShuYunSong,AaShuYunSong
/Users/xiangyucheng/Library/Fonts/20f8a38e287a6f357fa1a5ede9b7fc1f.ttf,20f8a38e287a6f357fa1a5ede9b7fc1f.ttf,Aa牡丹亭毛笔行书,Aa牡丹亭毛笔行书,AaMDTMBXS
/System/Library/Fonts/Supplemental/Academy Engraved LET Fonts.ttf,Academy Engraved LET Fonts.ttf,Academy Engraved LET,Academy Engraved LET Plain:1.0,AcademyEngravedLetPlain
/System/Library/Fonts/Supplemental/AlBayan.ttc,AlBayan.ttc,Al Bayan,Al Bayan Plain,AlBayan
/System/Library/Fonts/Supplemental/Al Nile.ttc,Al Nile.ttc,Al Nile,Al Nile,AlNile
/System/Library/Fonts/Supplemental/Al Tarikh.ttc,Al Tarikh.ttc,Al Tarikh,Al Tarikh Regular,AlTarikh
/System/Library/Fonts/Supplemental/AmericanTypewriter.ttc,AmericanTypewriter.ttc,American Typewriter,American Typewriter,AmericanTypewriter
/System/Library/Fonts/Supplemental/Andale Mono.ttf,Andale Mono.ttf,Andale Mono,Andale Mono,AndaleMono
/System/Library/Fonts/Apple Braille.ttf,Apple Braille.ttf,Apple Braille,Apple Braille,AppleBraille
/System/Library/Fonts/Apple Braille Outline 8 Dot.ttf,Apple Braille Outline 8 Dot.ttf,Apple Braille,Apple Braille Outline 8 Dot,AppleBraille-Outline8Dot
/System/Library/Fonts/Apple Braille Pinpoint 8 Dot.ttf,Apple Braille Pinpoint 8 Dot.ttf,Apple Braille,Apple Braille Pinpoint 8 Dot,AppleBraille-Pinpoint8Dot
/System/Library/Fonts/Apple Braille Pinpoint 6 Dot.ttf,Apple Braille Pinpoint 6 Dot.ttf,Apple Braille,Apple Braille Pinpoint 6 Dot,AppleBraille-Pinpoint6Dot
/System/Library/Fonts/Apple Braille Outline 6 Dot.ttf,Apple Braille Outline 6 Dot.ttf,Apple Braille,Apple Braille Outline 6 Dot,AppleBraille-Outline6Dot
/System/Library/Fonts/Supplemental/Apple Chancery.ttf,Apple Chancery.ttf,Apple Chancery,Apple Chancery,Apple-Chancery
/System/Library/Fonts/Apple Color Emoji.ttc,Apple Color Emoji.ttc,Apple Color Emoji,Apple Color Emoji,AppleColorEmoji
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/ecb0f9fe84d4cf732f739bbc2c6a8c29cfefd08e.asset/AssetData/AppleLiGothic-Medium.ttf,AppleLiGothic-Medium.ttf,Apple LiGothic,Apple LiGothic Medium,LiGothicMed
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/b3a305e67bac3daadc55e9b976b534261c038509.asset/AssetData/AppleLiSung-Light.ttf,AppleLiSung-Light.ttf,Apple LiSung,Apple LiSung Light,LiSungLight
/System/Library/Fonts/AppleSDGothicNeo.ttc,AppleSDGothicNeo.ttc,Apple SD Gothic Neo,Apple SD Gothic Neo Regular,AppleSDGothicNeo-Regular
/System/Library/Fonts/Apple Symbols.ttf,Apple Symbols.ttf,Apple Symbols,Apple Symbols,AppleSymbols
/System/Library/Fonts/Supplemental/AppleGothic.ttf,AppleGothic.ttf,AppleGothic,AppleGothic Regular,AppleGothic
/System/Library/Fonts/Supplemental/AppleMyungjo.ttf,AppleMyungjo.ttf,AppleMyungjo,AppleMyungjo Regular,AppleMyungjo
/System/Library/Fonts/Supplemental/Arial Italic.ttf,Arial Italic.ttf,Arial,Arial Italic,Arial-ItalicMT
/System/Library/Fonts/Supplemental/Arial Bold Italic.ttf,Arial Bold Italic.ttf,Arial,Arial Bold Italic,Arial-BoldItalicMT
/System/Library/Fonts/Supplemental/Arial Bold.ttf,Arial Bold.ttf,Arial,Arial Bold,Arial-BoldMT
/System/Library/Fonts/Supplemental/Arial.ttf,Arial.ttf,Arial,Arial,ArialMT
/System/Library/Fonts/Supplemental/Arial Black.ttf,Arial Black.ttf,Arial Black,Arial Black,Arial-Black
/System/Library/Fonts/ArialHB.ttc,ArialHB.ttc,Arial Hebrew,Arial Hebrew,ArialHebrew
/System/Library/Fonts/Supplemental/Arial Narrow Bold Italic.ttf,Arial Narrow Bold Italic.ttf,Arial Narrow,Arial Narrow Bold Italic,ArialNarrow-BoldItalic
/System/Library/Fonts/Supplemental/Arial Narrow Italic.ttf,Arial Narrow Italic.ttf,Arial Narrow,Arial Narrow Italic,ArialNarrow-Italic
/System/Library/Fonts/Supplemental/Arial Narrow.ttf,Arial Narrow.ttf,Arial Narrow,Arial Narrow,ArialNarrow
/System/Library/Fonts/Supplemental/Arial Narrow Bold.ttf,Arial Narrow Bold.ttf,Arial Narrow,Arial Narrow Bold,ArialNarrow-Bold
